periodo;rama_sector;fbkf_$2004
2004;"741. Servicios jurídicos y de contabilidad, teneduría de libros y auditoría; asesoramiento en materia de impuestos; estudios de mercados y realización de encuestas de opinión pública; asesoramiento empresarial y en materia de gestión"; 89 
2004;742. Servicios de arquitectura e ingeniería y servicios técnicos n.c.p.; 155 
2004;743. Servicios de publicidad; 43 
2004;749. Servicios empresariales n.c.p.; 394 
2004;L - Administración pública, defensa y seguridad social obligatoria; 213 
2004;751. Servicios de la administración pública; 75 
2004;752. Prestación pública de servicios a la comunidad en general; 5 
2004;753. Servicios de la seguridad social obligatoria; 132 
2004;M - Enseñanza; 1.673 
2004;801. Enseñanza inicial y primaria; 502 
2004;802. Enseñanza secundaria; 211 
2004;803. Enseñanza superior y formación de posgrado; 901 
2004;809. Enseñanza para adultos y servicios de enseñanza n.c.p.; 59 
2004;N - Servicios sociales y de salud; 1.674 
2004;851. Servicios relacionados con la salud humana; 1.524 
2004;852. Servicios veterinarios; 4 
2004;853. Servicios sociales; 144 
2004;O - Servicios comunitarios, sociales y personales n.c.p.; 7.491 
2004;900. Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares; 129 
2004;911. Servicios de organizaciones empresariales, profesionales y de empleadores; 1.206 
2004;912. Servicios de sindicatos; 789 
2004;919. Servicios de asociaciones n.c.p.; 2.651 
2004;921. Servicios de cinematografía, radio y televisión y servicios de espectáculos artísticos y de diversión n.c.p.; 381 
2004;922. Servicios de agencias de noticias; 12 
2004;923. Servicios de bibliotecas, archivos y museos y servicios culturales n.c.p.; 23 
2004;924. Servicios para la práctica deportiva y de entretenimiento n.c.p.; 1.476 
2004;930. Servicios n.c.p.; 860 
2004;Otras actividades;-102 
2005;Reproductiva Privada Total; 51.004 
2005;A - Agricultura, ganadería, caza y silvicultura; 2.941 
2005;011. Cultivos agrícolas; 1.085 
2005;012. Cría de animales; 1.423 
2005;014. Servicios agrícolas y pecuarios, excepto los veterinarios; 320 
2005;015. Caza y captura de animales vivos, repoblación de animales de caza y servicios conexos;-1 
