periodo;molienda_cereales_y_oleaginosas;resto_de_alimentos;bebidas;tabaco;textil_indumentaria_y_cuero;madera_papel_y_edicion;refinacion_de_petroleo;quimicos;caucho_y_plastico;minerales_no_metalicos;metales_basicos;metalmecanica;automotriz;resto_de_industria;total_industria
1/9/2014;106.284.401;137549,02;5.010.968.500.000.000;2383,1;7.686.801.999.999.990;1.163.234.439.999.990;69.789.016;212.956.248;8.661.214.299.999.990;1.697.593.789.999.990;2.876.461.989.999.990;2.231.868.199.999.990;37.136.857;1029,33;1.376.765.524
1/10/2014;114.974.999;143.935.721;5.360.492.400.000.000;2641;7.706.328.099.999.990;118807,74;6.822.239.399.999.990;217.568.884;9.051.589.899.999.990;1.798.337.179.999.990;3.042.034.420.000.000;23.005.652;3.900.752.800.000.000;1.117.022;1.434.502.204
1/11/2014;9.357.715.900.000.000;1.384.232.430.000.000;5.400.483.299.999.990;2506,1;7.650.412.100.000.000;1.082.374.890.000.000;6.448.054.599.999.990;2.060.676.160.000.000;8.572.399.999.999.990;175.599.596;3.181.390.739.999.990;22.114.597;39.025.987;1.088.835;1.385.493.196
1/12/2014;8.993.030.200.000.000;1.386.519.940.000.000;57.176.386;2652,7;6.547.598.400.000.000;108.440.296;6.604.910.899.999.990;211.143.926;7.966.934.500.000.000;1.731.806.020.000.000;2.884.320.300.000.000;2.103.386.199.999.990;35.697.816;1.195.974;1.338.730.326
1/1/2015;9.189.283.299.999.990;1.439.228.949.999.990;5.732.056.200.000.000;2959,2;5.995.186.500.000.000;107.583.985;6.979.473.500.000.000;2.160.704.279.999.990;7.603.253.099.999.990;1.631.179.520.000.000;214.846.364;19.610.896;30.656.699;1.168.424;1.254.929.369
1/2/2015;9.307.436.499.999.990;1.429.249.020.000.000;4.913.183.300.000.000;3.142.150.000.000.000;6.778.146.200.000.000;105.121.403;6.442.919.700.000.000;190164,74;80.526.478;151.971.926;2.258.290.550.000.000;20.457.628;3.593.805.800.000.000;1.323.364;1.231.816.561
1/3/2015;9.851.637.799.999.990;1.546.462.490.000.000;5.321.241.299.999.990;3723;7.655.847.900.000.000;115685,76;7.119.908.300.000.000;2.207.632.529.999.990;8.546.992.900.000.000;1.722.045.060.000.000;257.350.006;2.275.076.899.999.990;39.615.819;1.140.174;1.372.835.818
1/4/2015;116.677.059;149.644.732;5.076.664.200.000.000;3648,21;7.548.384.899.999.990;115.465.825;6.987.185.700.000.000;213.503.854;8.536.936.799.999.990;1.758.696.039.999.990;234.309.845;22805,11;3.809.853.199.999.990;1.200.167;1.352.714.654
1/5/2015;8.715.722.100.000.000;147.318.401;4.713.080.499.999.990;3503,8;7.636.567.900.000.000;114.302.464;7.230.301.000.000.000;215.806.596;8.526.399.500.000.000;1.804.738.579.999.990;2.471.470.910.000.000;22.705.591;3.791.266.900.000.000;1.137.415;1.338.528.595
1/6/2015;1.156.513.829.999.990;140.733.966;4.193.490.100.000.000;3362;7.705.787.999.999.990;113905,39;6.668.783.099.999.990;2.010.514.759.999.990;8.618.936.599.999.990;177.695.762;274.996.334;23.364.201;4.087.271.200.000.000;1.147.795;1.364.650.997
